
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:00:17 +0300 "POST /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:18 +0000] "POST /?page=huawei-olt&ajax=authorize_staged HTTP/2.0" 200 78 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:00:17 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:18 +0000] "GET /?page=huawei-olt&ajax=realtime_onus HTTP/2.0" 200 118 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:00:32 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:18 +0000] "GET /?page=huawei-olt&ajax=realtime_stats HTTP/2.0" 200 246 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:18 +0300 "GET /api/olt-stats.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:18 +0000] "GET /api/olt-stats.php HTTP/2.0" 200 76 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:18 +0000] "GET /favicon.ico HTTP/2.0" 404 555 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_nginx           | 2026/01/18 10:02:18 [error] 34#34: *727 open() "/var/www/html/public/favicon.ico" failed (2: No such file or directory), client: 102.205.239.82, server: crm.superlite.co.ke, request: "GET /favicon.ico HTTP/2.0", host: "crm.superlite.co.ke", referrer: "https://crm.superlite.co.ke/?page=huawei-olt&view=onus"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:00:52 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:18 +0000] "GET /?page=huawei-olt&ajax=realtime_onus HTTP/2.0" 200 118 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:01:07 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /?page=huawei-olt&ajax=realtime_onus HTTP/2.0" 200 118 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:18 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /?page=huawei-olt&ajax=realtime_onus HTTP/2.0" 200 118 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:18 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /?page=huawei-olt&ajax=realtime_stats HTTP/2.0" 200 246 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:18 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /?page=huawei-olt&ajax=realtime_onus HTTP/2.0" 200 118 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:18 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /?page=huawei-olt&ajax=realtime_onus HTTP/2.0" 200 118 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:19 +0300 "GET /api/olt-stats.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /api/olt-stats.php HTTP/2.0" 200 76 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:19 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /?page=huawei-olt&ajax=realtime_stats HTTP/2.0" 200 246 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:19 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /?page=huawei-olt&ajax=realtime_onus HTTP/2.0" 200 118 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:19 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /?page=huawei-olt&ajax=realtime_onus HTTP/2.0" 200 118 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:19 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /?page=huawei-olt&ajax=realtime_stats HTTP/2.0" 200 246 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
isp_crm_php             | 172.18.0.8 -  18/Jan/2026:13:02:19 +0300 "GET /index.php" 200
isp_crm_nginx           | 102.205.239.82 - - [18/Jan/2026:10:02:19 +0000] "GET /?page=huawei-olt&ajax=realtime_onus HTTP/2.0" 200 118 "https://crm.superlite.co.ke/?page=huawei-olt&view=onus" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
^C
