root@superlite:/home/superlite/isp# docker exec isp_crm_db psql -U crm -d isp_crm -c "\dt"
                   List of relations
 Schema |             Name             | Type  | Owner
--------+------------------------------+-------+-------
 public | attendance                   | table | crm
 public | attendance_notification_logs | table | crm
 public | biometric_attendance_logs    | table | crm
 public | biometric_devices            | table | crm
 public | company_settings             | table | crm
 public | complaints                   | table | crm
 public | customers                    | table | crm
 public | departments                  | table | crm
 public | device_interfaces            | table | crm
 public | device_monitoring_log        | table | crm
 public | device_onus                  | table | crm
 public | device_user_mapping          | table | crm
 public | employees                    | table | crm
 public | equipment                    | table | crm
 public | equipment_assignments        | table | crm
 public | equipment_categories         | table | crm
 public | equipment_faults             | table | crm
 public | equipment_loans              | table | crm
 public | hr_notification_templates    | table | crm
 public | late_rules                   | table | crm
 public | mobile_tokens                | table | crm
 public | mpesa_c2b_transactions       | table | crm
 public | mpesa_config                 | table | crm
 public | mpesa_transactions           | table | crm
 public | network_devices              | table | crm
 public | orders                       | table | crm
 public | payroll                      | table | crm
 public | payroll_deductions           | table | crm
 public | performance_reviews          | table | crm
 public | permissions                  | table | crm
 public | role_permissions             | table | crm
 public | roles                        | table | crm
 public | sales_commissions            | table | crm
 public | salespersons                 | table | crm
 public | service_packages             | table | crm
 public | settings                     | table | crm
 public | sla_business_hours           | table | crm
 public | sla_holidays                 | table | crm
 public | sla_policies                 | table | crm
 public | sms_logs                     | table | crm
 public | team_members                 | table | crm
 public | teams                        | table | crm
 public | ticket_comments              | table | crm
 public | ticket_sla_logs              | table | crm
 public | ticket_templates             | table | crm
 public | tickets                      | table | crm
 public | users                        | table | crm
 public | whatsapp_logs                | table | crm
(48 rows)

