Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2026-01-14T14:59:23.572Z,false,2026-01-14T14:59:23.572Z,"00259E-HG8546M-48575443F2D53A8B",xsd:string,2026-01-14T14:59:23.572Z,,,,
DeviceID.Manufacturer,false,2026-01-14T14:59:23.572Z,false,2026-01-14T14:59:23.572Z,"Huawei Technologies Co., Ltd",xsd:string,2026-01-14T14:59:23.572Z,,,,
DeviceID.OUI,false,2026-01-14T14:59:23.572Z,false,2026-01-14T14:59:23.572Z,"00259E",xsd:string,2026-01-14T14:59:23.572Z,,,,
DeviceID.ProductClass,false,2026-01-14T14:59:23.572Z,false,2026-01-14T14:59:23.572Z,"HG8546M",xsd:string,2026-01-14T14:59:23.572Z,,,,
DeviceID.SerialNumber,false,2026-01-14T14:59:23.572Z,false,2026-01-14T14:59:23.572Z,"48575443F2D53A8B",xsd:string,2026-01-14T14:59:23.572Z,,,,
Events.1_BOOT,false,2026-01-14T14:59:23.572Z,false,2026-01-14T14:59:23.572Z,"2026-01-14T14:57:46.666Z",xsd:dateTime,2026-01-14T14:59:23.572Z,,,,
Events.Inform,false,2026-01-14T14:59:23.572Z,false,2026-01-14T14:59:23.572Z,"2026-01-14T14:59:23.572Z",xsd:dateTime,2026-01-14T14:59:23.572Z,,,,
Events.Registered,false,2026-01-14T14:59:23.572Z,false,2026-01-14T14:59:23.572Z,"2026-01-14T14:57:46.666Z",xsd:dateTime,2026-01-14T14:59:23.572Z,,,,
InternetGatewayDevice,true,2026-01-14T14:57:46.666Z,false,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2026-01-14T14:57:46.666Z,false,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.DHCPv4,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.DHCPv6,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.DNS,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.DeviceConfig,true,2026-01-14T14:57:46.666Z,false,2026-01-14T14:57:46.666Z,"",,,,,,
